m_443	671410	29	57
m_1569	749700	66	99
m_3949	650530	42	80
m_2039	243190	51	99
m_3712	618460	12	19
m_800	692160	91	90
m_1434	668370	28	41
m_2351	724940	18	32
m_2539	777200	56	95
m_1201	587800	24	20
m_2549	356230	92	100
m_1654	556010	63	98
m_851	255520	37	55
m_845	750620	37	41
m_1198	580830	76	61
m_837	188210	67	21
m_2853	760480	82	85
m_3866	477210	57	100
m_2323	223810	23	42
m_2217	111290	66	100
m_2565	621510	11	19
m_2822	174950	39	77
m_3735	466800	53	100
m_2939	322570	48	72
m_3127	135190	30	58
m_3997	300310	58	100
m_263	668360	15	21
m_173	318550	46	79
m_3680	531660	49	97
m_881	658070	61	98
m_3625	470330	65	98
m_1289	424080	14	20
m_2955	214910	52	100
m_1589	375540	10	14
m_2218	711310	14	23
m_1712	646130	65	100
m_364	433390	100	98
m_2775	594910	23	15
m_1269	680350	49	86
m_3315	438750	100	98
m_2619	645130	52	65
m_2304	389760	15	21
m_3760	341950	57	83
m_400	464200	52	71
m_2621	363720	55	100
m_3105	171030	50	93
m_2824	290430	51	97
m_1942	770930	45	70
m_100	505520	88	100
m_1703	604610	85	100
m_870	385640	59	99
m_1696	602970	15	25
m_3828	637170	52	87
m_1462	547120	76	99
m_2393	586790	54	100
m_730	289640	51	99
m_1269	646210	52	99
